callsign,name,band,freq_tx,freq_rx,ctcss_tx,ctcss_rx,c4fm,dmr,dmr_id,dmr_cc,dstar,dstar_rpt1,dstar_rpt2,fm,landmark,state,country,country_code,loc_exact,lat,long,locator,sea_level,skip,scan_group,source_id,source_name,source_provider,source_type,source_license,source_url,offset,dup,ctcss,simplex,split,multimode,name_formatted,distance,heading
,LoungeFM,radio,93.6,93.6,,,False,False,,,False,,,True,Donaukanal,Wien,Austria,AUT,True,48.214444,16.375833,JN88EF,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Ypsilon,radio,93.7,93.7,,,False,False,,,False,,,True,Silo,Niederösterreich,Austria,AUT,True,48.563611,16.56,JN88GN,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Arabella Linz,radio,93.8,93.8,,,False,False,,,False,,,True,Obergrünbach,Oberösterreich,Austria,AUT,True,48.546944,14.537778,JN78GN,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Kronehit,radio,93.9,93.9,,,False,False,,,False,,,True,Grünberg,Oberösterreich,Austria,AUT,True,47.898889,13.818611,JN67VV,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Freies  Salzkammergut,radio,94.0,94.0,,,False,False,,,False,,,True,FF Jainzen,Oberösterreich,Austria,AUT,True,47.723611,13.616944,JN67TR,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Ö2 OÖ,radio,94.1,94.1,,,False,False,,,False,,,True,Zwieselalm,Oberösterreich,Austria,AUT,True,47.531667,13.476667,JN67RM,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Antenne S,radio,94.2,94.2,,,False,False,,,False,,,True,Zwölferhorn,Salzburg,Austria,AUT,True,47.743889,13.353889,JN67QR,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Kronehit,radio,94.3,94.3,,,False,False,,,False,,,True,Schlossbichl,Kärnten,Austria,AUT,True,46.923889,13.5475,JN66SW,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Campusradio,radio,94.4,94.4,,,False,False,,,False,,,True,Schildberg,Niederösterreich,Austria,AUT,True,48.213056,15.711944,JN78UF,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Ypsilon,radio,94.5,94.5,,,False,False,,,False,,,True,Gymnasiumturm,Niederösterreich,Austria,AUT,True,48.559167,16.085,JN88BN,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Kronehit,radio,94.6,94.6,,,False,False,,,False,,,True,Tettenhengst,Niederösterreich,Austria,AUT,True,47.871389,15.622222,JN77TU,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
