callsign,name,band,freq_tx,freq_rx,ctcss_tx,ctcss_rx,c4fm,dmr,dmr_id,dmr_cc,dstar,dstar_rpt1,dstar_rpt2,fm,landmark,state,country,country_code,loc_exact,lat,long,locator,sea_level,skip,scan_group,source_id,source_name,source_provider,source_type,source_license,source_url,offset,dup,ctcss,simplex,split,multimode,name_formatted,distance,heading,attempts,activations,qsos,grid
SG-0052,Toa Payoh Town Park National Park,gps,,,,,False,False,,,False,,,False,SG-CS,Central Singapore,Singapore,SG,True,1.3308,103.847,OJ11wh,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/SG-CS,0,,False,True,False,False,SG-0052 Toa Payoh Town Park National Park,,,2,2,33,OJ11wh
SG-0055,Mount Emily Park National Park,gps,,,,,False,False,,,False,,,False,SG-CS,Central Singapore,Singapore,SG,True,1.3046,103.848,OJ11wh,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/SG-CS,0,,False,True,False,False,SG-0055 Mount Emily Park National Park,,,2,2,45,OJ11wh
SG-0056,Windsor Nature Park National Park,gps,,,,,False,False,,,False,,,False,SG-CS,Central Singapore,Singapore,SG,True,1.3599,103.827,OJ11vi,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/SG-CS,0,,False,True,False,False,SG-0056 Windsor Nature Park National Park,,,1,1,17,OJ11vi
SG-0066,Thompson Nature Park National Park,gps,,,,,False,False,,,False,,,False,SG-CS,Central Singapore,Singapore,SG,True,1.3834,103.822,OJ11vj,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/SG-CS,0,,False,True,False,False,SG-0066 Thompson Nature Park National Park,,,1,1,18,OJ11vj
SG-0004,Bedok Reservoir Park National Park,gps,,,,,False,False,,,False,,,False,SG-NE,North East,Singapore,SG,True,1.3413,103.924,OJ11xi,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/SG-NE,0,,False,True,False,False,SG-0004 Bedok Reservoir Park National Park,,,3,3,64,OJ11xi
SG-0005,Bedok Town Park National Park,gps,,,,,False,False,,,False,,,False,SG-NE,North East,Singapore,SG,True,1.3354,103.926,OJ11xi,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/SG-NE,0,,False,True,False,False,SG-0005 Bedok Town Park National Park,,,2,2,30,OJ11xi
SG-0013,Coney Island Park,gps,,,,,False,False,,,False,,,False,SG-NE,North East,Singapore,SG,True,1.4093,103.922,OJ11xj,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/SG-NE,0,,False,True,False,False,SG-0013 Coney Island Park,,,1,1,24,OJ11xj
SG-0037,Pasir Ris Park National Park,gps,,,,,False,False,,,False,,,False,SG-NE,North East,Singapore,SG,True,1.3827,103.948,OJ11xj,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/SG-NE,0,,False,True,False,False,SG-0037 Pasir Ris Park National Park,,,36,34,1162,OJ11xj
SG-0040,Punggol Park National Park,gps,,,,,False,False,,,False,,,False,SG-NE,North East,Singapore,SG,True,1.3772,103.898,OJ11wj,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/SG-NE,0,,False,True,False,False,SG-0040 Punggol Park National Park,,,2,2,30,OJ11wj
SG-0041,Punggol Waterway Park National Park,gps,,,,,False,False,,,False,,,False,SG-NE,North East,Singapore,SG,True,1.4111,103.905,OJ11wj,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/SG-NE,0,,False,True,False,False,SG-0041 Punggol Waterway Park National Park,,,2,2,23,OJ11wj
